       KEY   NAME                                            RED   GREEN    BLUE   ALPHA   
        75   L_17Networks_LH_DorsAttnB_PostC_1             0.000   0.463   0.047   1.000   
        76   L_17Networks_LH_DorsAttnB_PostC_2             0.000   0.463   0.051   1.000   
        77   L_17Networks_LH_DorsAttnB_PostC_3             0.000   0.463   0.055   1.000   
        78   L_17Networks_LH_DorsAttnB_PostC_4             0.000   0.463   0.063   1.000   
        79   L_17Networks_LH_DorsAttnB_PostC_5             0.000   0.463   0.067   1.000   
        80   L_17Networks_LH_DorsAttnB_PostC_6             0.000   0.463   0.071   1.000   
        81   L_17Networks_LH_DorsAttnB_PostC_7             0.000   0.463   0.075   1.000   
        82   L_17Networks_LH_DorsAttnB_PostC_8             0.000   0.463   0.078   1.000   
        83   L_17Networks_LH_DorsAttnB_PostC_9             0.000   0.463   0.082   1.000   
        84   L_17Networks_LH_DorsAttnB_FEF_1               0.000   0.467   0.059   1.000   
        85   L_17Networks_LH_DorsAttnB_FEF_2               0.000   0.467   0.063   1.000   
        86   L_17Networks_LH_DorsAttnB_FEF_3               0.000   0.467   0.067   1.000   
        87   L_17Networks_LH_DorsAttnB_PrCv_1              0.000   0.467   0.071   1.000   
        88   L_17Networks_LH_SalVentAttnA_ParOper_1        0.769   0.227   0.984   1.000   
        89   L_17Networks_LH_SalVentAttnA_ParOper_2        0.769   0.227   0.988   1.000   
        90   L_17Networks_LH_SalVentAttnA_ParOper_3        0.769   0.227   0.992   1.000   
        91   L_17Networks_LH_SalVentAttnA_Ins_1            0.769   0.231   0.976   1.000   
        92   L_17Networks_LH_SalVentAttnA_Ins_2            0.769   0.231   0.984   1.000   
        93   L_17Networks_LH_SalVentAttnA_Ins_3            0.769   0.231   0.988   1.000   
        94   L_17Networks_LH_SalVentAttnA_Ins_4            0.769   0.231   0.992   1.000   
        95   L_17Networks_LH_SalVentAttnA_Ins_5            0.769   0.231   0.996   1.000   
        96   L_17Networks_LH_SalVentAttnA_Ins_6            0.769   0.231   1.000   1.000   
        97   L_17Networks_LH_SalVentAttnA_ParMed_1         0.757   0.204   0.976   1.000   
        98   L_17Networks_LH_SalVentAttnA_ParMed_2         0.757   0.204   0.980   1.000   
        99   L_17Networks_LH_SalVentAttnA_ParMed_3         0.757   0.204   0.984   1.000   
       100   L_17Networks_LH_SalVentAttnA_FrMed_1          0.773   0.227   0.984   1.000   
       101   L_17Networks_LH_SalVentAttnA_FrMed_2          0.773   0.227   0.988   1.000   
       102   L_17Networks_LH_SalVentAttnA_FrMed_3          0.773   0.227   0.992   1.000   
       103   L_17Networks_LH_SalVentAttnB_PFCl_1           1.000   0.600   0.839   1.000   
       104   L_17Networks_LH_SalVentAttnB_PFCl_2           1.000   0.600   0.843   1.000   
       105   L_17Networks_LH_SalVentAttnB_PFCl_3           1.000   0.600   0.847   1.000   
       106   L_17Networks_LH_SalVentAttnB_PFCv_1           1.000   0.600   0.851   1.000   
       107   L_17Networks_LH_SalVentAttnB_PFCv_2           1.000   0.600   0.855   1.000   
       108   L_17Networks_LH_SalVentAttnB_PFCv_3           1.000   0.600   0.859   1.000   
       109   L_17Networks_LH_SalVentAttnB_OFC_1            1.000   0.596   0.835   1.000   
       110   L_17Networks_LH_SalVentAttnB_PFCmp_1          1.000   0.592   0.839   1.000   
       111   L_17Networks_LH_Limbic_OFC_1                  0.478   0.529   0.192   1.000   
       112   L_17Networks_LH_Limbic_OFC_2                  0.478   0.529   0.200   1.000   
       113   L_17Networks_LH_Limbic_OFC_3                  0.478   0.529   0.204   1.000   
       114   L_17Networks_LH_Limbic_OFC_4                  0.478   0.529   0.208   1.000   
       115   L_17Networks_LH_Limbic_OFC_5                  0.478   0.529   0.212   1.000   
       116   L_17Networks_LH_Limbic_TempPole_1             0.863   0.973   0.635   1.000   
       117   L_17Networks_LH_Limbic_TempPole_2             0.863   0.973   0.639   1.000   
       118   L_17Networks_LH_Limbic_TempPole_3             0.863   0.973   0.647   1.000   
       119   L_17Networks_LH_Limbic_TempPole_4             0.863   0.973   0.651   1.000   
       120   L_17Networks_LH_Limbic_TempPole_5             0.863   0.973   0.655   1.000   
       121   L_17Networks_LH_Limbic_TempPole_6             0.863   0.973   0.659   1.000   
       122   L_17Networks_LH_Limbic_TempPole_7             0.863   0.973   0.663   1.000   
       123   L_17Networks_LH_ContA_Temp_1                  0.902   0.580   0.137   1.000   
       124   L_17Networks_LH_ContA_IPS_1                   0.902   0.580   0.133   1.000   
       125   L_17Networks_LH_ContA_IPS_2                   0.902   0.580   0.141   1.000   
       126   L_17Networks_LH_ContA_IPS_3                   0.902   0.580   0.145   1.000   
       127   L_17Networks_LH_ContA_IPS_4                   0.902   0.580   0.149   1.000   
       128   L_17Networks_LH_ContA_IPS_5                   0.902   0.580   0.153   1.000   
       129   L_17Networks_LH_ContA_PFCd_1                  0.902   0.584   0.137   1.000   
       130   L_17Networks_LH_ContA_PFCl_1                  0.902   0.584   0.133   1.000   
       131   L_17Networks_LH_ContA_PFCl_2                  0.902   0.584   0.141   1.000   
       132   L_17Networks_LH_ContA_PFCl_3                  0.902   0.584   0.145   1.000   
       133   L_17Networks_LH_ContA_PFCl_4                  0.902   0.584   0.149   1.000   
       134   L_17Networks_LH_ContA_PFCl_5                  0.902   0.584   0.153   1.000   
       135   L_17Networks_LH_ContA_Cinga_1                 0.906   0.580   0.141   1.000   
       136   L_17Networks_LH_ContB_Temp_1                  0.529   0.196   0.294   1.000   
       137   L_17Networks_LH_ContB_Temp_2                  0.529   0.196   0.298   1.000   
       138   L_17Networks_LH_ContB_IPL_1                   0.529   0.196   0.302   1.000   
       139   L_17Networks_LH_ContB_IPL_2                   0.529   0.196   0.306   1.000   
       140   L_17Networks_LH_ContB_IPL_3                   0.529   0.196   0.310   1.000   
       141   L_17Networks_LH_ContB_PFCd_1                  0.529   0.200   0.294   1.000   
       142   L_17Networks_LH_ContB_PFClv_1                 0.533   0.196   0.294   1.000   
       143   L_17Networks_LH_ContB_PFClv_2                 0.533   0.196   0.298   1.000   
       144   L_17Networks_LH_ContB_PFClv_3                 0.533   0.196   0.302   1.000   
       145   L_17Networks_LH_ContB_PFCmp_1                 0.533   0.196   0.306   1.000   
       146   L_17Networks_LH_ContC_pCun_1                  0.467   0.549   0.694   1.000   
       147   L_17Networks_LH_ContC_pCun_2                  0.467   0.549   0.698   1.000   
       148   L_17Networks_LH_ContC_pCun_3                  0.467   0.549   0.702   1.000   
       149   L_17Networks_LH_ContC_Cingp_1                 0.467   0.549   0.706   1.000   
       150   L_17Networks_LH_ContC_Cingp_2                 0.467   0.549   0.710   1.000   
       151   L_17Networks_LH_DefaultA_IPL_1                1.000   1.000   0.004   1.000   
       152   L_17Networks_LH_DefaultA_IPL_2                1.000   1.000   0.008   1.000   
       153   L_17Networks_LH_DefaultA_PFCd_1               1.000   1.000   0.012   1.000   
       154   L_17Networks_LH_DefaultA_PFCd_2               1.000   1.000   0.016   1.000   
       155   L_17Networks_LH_DefaultA_PFCd_3               1.000   1.000   0.020   1.000   
       156   L_17Networks_LH_DefaultA_PCC_1                1.000   0.996   0.004   1.000   
       157   L_17Networks_LH_DefaultA_PCC_2                1.000   0.996   0.008   1.000   
       158   L_17Networks_LH_DefaultA_PCC_3                1.000   0.996   0.012   1.000   
       159   L_17Networks_LH_DefaultA_PCC_4                1.000   0.996   0.016   1.000   
       160   L_17Networks_LH_DefaultA_PCC_5                1.000   0.996   0.020   1.000   
       161   L_17Networks_LH_DefaultA_PCC_6                1.000   0.996   0.024   1.000   
       162   L_17Networks_LH_DefaultA_PCC_7                1.000   0.996   0.027   1.000   
       163   L_17Networks_LH_DefaultA_PFCm_1               0.996   1.000   0.004   1.000   
       164   L_17Networks_LH_DefaultA_PFCm_2               0.996   1.000   0.008   1.000   
       165   L_17Networks_LH_DefaultA_PFCm_3               0.996   1.000   0.012   1.000   
       166   L_17Networks_LH_DefaultA_PFCm_4               0.996   1.000   0.016   1.000   
       167   L_17Networks_LH_DefaultA_PFCm_5               0.996   1.000   0.020   1.000   
       168   L_17Networks_LH_DefaultA_PFCm_6               0.996   1.000   0.024   1.000   
       169   L_17Networks_LH_DefaultB_Temp_1               0.804   0.243   0.302   1.000   
       170   L_17Networks_LH_DefaultB_Temp_2               0.804   0.243   0.310   1.000   
       171   L_17Networks_LH_DefaultB_Temp_3               0.804   0.243   0.314   1.000   
       172   L_17Networks_LH_DefaultB_Temp_4               0.804   0.243   0.318   1.000   
       173   L_17Networks_LH_DefaultB_Temp_5               0.804   0.243   0.322   1.000   
       174   L_17Networks_LH_DefaultB_Temp_6               0.804   0.243   0.325   1.000   
       175   L_17Networks_LH_DefaultB_IPL_1                0.804   0.243   0.329   1.000   
       176   L_17Networks_LH_DefaultB_IPL_2                0.804   0.243   0.333   1.000   
       177   L_17Networks_LH_DefaultB_PFCd_1               0.804   0.247   0.302   1.000   
       178   L_17Networks_LH_DefaultB_PFCd_2               0.804   0.247   0.310   1.000   
       179   L_17Networks_LH_DefaultB_PFCd_3               0.804   0.247   0.314   1.000   
       180   L_17Networks_LH_DefaultB_PFCd_4               0.804   0.247   0.318   1.000   
       181   L_17Networks_LH_DefaultB_PFCd_5               0.804   0.247   0.322   1.000   
       182   L_17Networks_LH_DefaultB_PFCd_6               0.804   0.247   0.325   1.000   
       183   L_17Networks_LH_DefaultB_PFCl_1               0.804   0.247   0.329   1.000   
       184   L_17Networks_LH_DefaultB_PFCl_2               0.804   0.247   0.333   1.000   
       185   L_17Networks_LH_DefaultB_PFCv_1               0.808   0.243   0.302   1.000   
       186   L_17Networks_LH_DefaultB_PFCv_2               0.808   0.243   0.310   1.000   
       187   L_17Networks_LH_DefaultB_PFCv_3               0.808   0.243   0.314   1.000   
       188   L_17Networks_LH_DefaultB_PFCv_4               0.808   0.243   0.318   1.000   
       189   L_17Networks_LH_DefaultB_PFCv_5               0.808   0.243   0.322   1.000   
       190   L_17Networks_LH_DefaultC_IPL_1                0.000   0.000   0.514   1.000   
       191   L_17Networks_LH_DefaultC_Rsp_1                0.000   0.000   0.518   1.000   
       192   L_17Networks_LH_DefaultC_Rsp_2                0.000   0.000   0.522   1.000   
       193   L_17Networks_LH_DefaultC_Rsp_3                0.000   0.000   0.525   1.000   
       194   L_17Networks_LH_DefaultC_PHC_1                0.000   0.004   0.514   1.000   
       195   L_17Networks_LH_DefaultC_PHC_2                0.000   0.004   0.518   1.000   
       196   L_17Networks_LH_DefaultC_PHC_3                0.000   0.004   0.522   1.000   
       197   L_17Networks_LH_TempPar_1                     0.047   0.188   0.996   1.000   
       198   L_17Networks_LH_TempPar_2                     0.035   0.161   0.976   1.000   
       199   L_17Networks_LH_TempPar_3                     0.035   0.161   0.980   1.000   
       200   L_17Networks_LH_TempPar_4                     0.035   0.161   0.984   1.000   
       201   L_17Networks_LH_TempPar_5                     0.035   0.161   0.988   1.000   
       202   L_17Networks_LH_TempPar_6                     0.035   0.161   0.992   1.000   
       203   R_unknown_0                                   0.000   0.000   0.000   0.000   
       204   R_17Networks_RH_VisCent_ExStr_1               0.486   0.075   0.514   1.000   
       205   R_17Networks_RH_VisCent_ExStr_2               0.486   0.075   0.518   1.000   
       206   R_17Networks_RH_VisCent_ExStr_3               0.486   0.075   0.522   1.000   
       207   R_17Networks_RH_VisCent_ExStr_4               0.486   0.075   0.525   1.000   
       208   R_17Networks_RH_VisCent_ExStr_5               0.486   0.075   0.533   1.000   
       209   R_17Networks_RH_VisCent_ExStr_6               0.486   0.075   0.537   1.000   
       210   R_17Networks_RH_VisCent_ExStr_7               0.486   0.075   0.541   1.000   
       211   R_17Networks_RH_VisCent_ExStr_8               0.486   0.075   0.545   1.000   
       212   R_17Networks_RH_VisCent_ExStr_9               0.486   0.075   0.549   1.000   
       213   R_17Networks_RH_VisCent_ExStr_10              0.486   0.075   0.553   1.000   
       214   R_17Networks_RH_VisCent_ExStr_11              0.486   0.075   0.557   1.000   
       215   R_17Networks_RH_VisCent_ExStr_12              0.486   0.078   0.529   1.000   
       216   R_17Networks_RH_VisPeri_ExStrSup_1            0.980   0.000   0.000   1.000   
       217   R_17Networks_RH_VisPeri_ExStrSup_2            0.980   0.000   0.008   1.000   
       218   R_17Networks_RH_VisPeri_ExStrSup_3            0.980   0.000   0.012   1.000   
       219   R_17Networks_RH_VisPeri_ExStrSup_4            0.980   0.000   0.016   1.000   
       220   R_17Networks_RH_VisPeri_ExStrSup_5            0.980   0.000   0.020   1.000   
       221   R_17Networks_RH_VisPeri_ExStrSup_6            0.980   0.000   0.024   1.000   
       222   R_17Networks_RH_VisPeri_ExStrSup_7            0.980   0.000   0.027   1.000   
       223   R_17Networks_RH_VisPeri_ExStrSup_8            0.980   0.000   0.031   1.000   
       224   R_17Networks_RH_VisPeri_ExStrSup_9            0.980   0.004   0.004   1.000   
       225   R_17Networks_RH_VisPeri_ExStrSup_10           0.980   0.004   0.008   1.000   
       226   R_17Networks_RH_VisPeri_ExStrSup_11           0.980   0.004   0.012   1.000   
       227   R_17Networks_RH_SomMotA_1                     0.290   0.510   0.710   1.000   
       228   R_17Networks_RH_SomMotA_2                     0.290   0.514   0.682   1.000   
       229   R_17Networks_RH_SomMotA_3                     0.290   0.514   0.686   1.000   
       230   R_17Networks_RH_SomMotA_4                     0.290   0.514   0.690   1.000   
       231   R_17Networks_RH_SomMotA_5                     0.290   0.514   0.694   1.000   
       232   R_17Networks_RH_SomMotA_6                     0.290   0.514   0.698   1.000   
       233   R_17Networks_RH_SomMotA_7                     0.290   0.514   0.702   1.000   
       234   R_17Networks_RH_SomMotA_8                     0.290   0.514   0.706   1.000   
       235   R_17Networks_RH_SomMotA_9                     0.290   0.514   0.714   1.000   
       236   R_17Networks_RH_SomMotA_10                    0.290   0.514   0.718   1.000   
       237   R_17Networks_RH_SomMotA_11                    0.290   0.514   0.722   1.000   
       238   R_17Networks_RH_SomMotA_12                    0.290   0.514   0.725   1.000   
       239   R_17Networks_RH_SomMotA_13                    0.290   0.514   0.729   1.000   
       240   R_17Networks_RH_SomMotA_14                    0.290   0.514   0.733   1.000   
       241   R_17Networks_RH_SomMotA_15                    0.290   0.514   0.737   1.000   
       242   R_17Networks_RH_SomMotA_16                    0.290   0.518   0.710   1.000   
       243   R_17Networks_RH_SomMotA_17                    0.290   0.518   0.714   1.000   
       244   R_17Networks_RH_SomMotA_18                    0.290   0.518   0.718   1.000   
       245   R_17Networks_RH_SomMotA_19                    0.290   0.518   0.722   1.000   
       246   R_17Networks_RH_SomMotA_20                    0.290   0.518   0.725   1.000   
       247   R_17Networks_RH_SomMotB_S2_1                  0.184   0.804   0.620   1.000   
