       KEY   NAME                                            RED   GREEN    BLUE   ALPHA   
       315   R_17Networks_RH_SalVentAttnB_PFCmp_2          0.980   0.600   0.843   1.000   
       316   R_17Networks_RH_Limbic_OFC_1                  0.494   0.529   0.196   1.000   
       317   R_17Networks_RH_Limbic_OFC_2                  0.494   0.529   0.204   1.000   
       318   R_17Networks_RH_Limbic_OFC_3                  0.494   0.529   0.208   1.000   
       319   R_17Networks_RH_Limbic_OFC_4                  0.494   0.529   0.212   1.000   
       320   R_17Networks_RH_Limbic_OFC_5                  0.494   0.529   0.216   1.000   
       321   R_17Networks_RH_Limbic_OFC_6                  0.494   0.529   0.220   1.000   
       322   R_17Networks_RH_Limbic_TempPole_1             0.878   0.973   0.643   1.000   
       323   R_17Networks_RH_Limbic_TempPole_2             0.878   0.973   0.651   1.000   
       324   R_17Networks_RH_Limbic_TempPole_3             0.878   0.973   0.655   1.000   
       325   R_17Networks_RH_Limbic_TempPole_4             0.878   0.973   0.659   1.000   
       326   R_17Networks_RH_Limbic_TempPole_5             0.878   0.973   0.663   1.000   
       327   R_17Networks_RH_Limbic_TempPole_6             0.878   0.973   0.667   1.000   
       328   R_17Networks_RH_ContA_IPS_1                   0.918   0.576   0.137   1.000   
       329   R_17Networks_RH_ContA_IPS_2                   0.918   0.576   0.141   1.000   
       330   R_17Networks_RH_ContA_IPS_3                   0.918   0.576   0.145   1.000   
       331   R_17Networks_RH_ContA_IPS_4                   0.918   0.576   0.149   1.000   
       332   R_17Networks_RH_ContA_PFCd_1                  0.918   0.576   0.133   1.000   
       333   R_17Networks_RH_ContA_PFCl_1                  0.914   0.580   0.129   1.000   
       334   R_17Networks_RH_ContA_PFCl_2                  0.914   0.580   0.137   1.000   
       335   R_17Networks_RH_ContA_PFCl_3                  0.914   0.580   0.141   1.000   
       336   R_17Networks_RH_ContA_PFCl_4                  0.914   0.580   0.145   1.000   
       337   R_17Networks_RH_ContA_PFCl_5                  0.914   0.580   0.149   1.000   
       338   R_17Networks_RH_ContA_Cinga_1                 0.914   0.580   0.133   1.000   
       339   R_17Networks_RH_ContB_Temp_1                  0.549   0.200   0.298   1.000   
       340   R_17Networks_RH_ContB_Temp_2                  0.549   0.200   0.302   1.000   
       341   R_17Networks_RH_ContB_IPL_1                   0.545   0.196   0.290   1.000   
       342   R_17Networks_RH_ContB_IPL_2                   0.545   0.196   0.294   1.000   
       343   R_17Networks_RH_ContB_IPL_3                   0.545   0.196   0.298   1.000   
       344   R_17Networks_RH_ContB_IPL_4                   0.545   0.196   0.302   1.000   
       345   R_17Networks_RH_ContB_PFCld_1                 0.545   0.192   0.294   1.000   
       346   R_17Networks_RH_ContB_PFCld_2                 0.545   0.192   0.298   1.000   
       347   R_17Networks_RH_ContB_PFCld_3                 0.545   0.192   0.302   1.000   
       348   R_17Networks_RH_ContB_PFCld_4                 0.545   0.192   0.306   1.000   
       349   R_17Networks_RH_ContB_PFClv_1                 0.545   0.192   0.290   1.000   
       350   R_17Networks_RH_ContB_PFClv_2                 0.545   0.192   0.310   1.000   
       351   R_17Networks_RH_ContB_PFClv_3                 0.545   0.192   0.314   1.000   
       352   R_17Networks_RH_ContB_PFClv_4                 0.545   0.196   0.286   1.000   
       353   R_17Networks_RH_ContB_PFCmp_1                 0.541   0.196   0.294   1.000   
       354   R_17Networks_RH_ContC_pCun_1                  0.482   0.553   0.686   1.000   
       355   R_17Networks_RH_ContC_pCun_2                  0.482   0.553   0.694   1.000   
       356   R_17Networks_RH_ContC_pCun_3                  0.482   0.553   0.698   1.000   
       357   R_17Networks_RH_ContC_pCun_4                  0.482   0.553   0.702   1.000   
       358   R_17Networks_RH_ContC_pCun_5                  0.482   0.553   0.706   1.000   
       359   R_17Networks_RH_ContC_Cingp_1                 0.482   0.553   0.710   1.000   
       360   R_17Networks_RH_ContC_Cingp_2                 0.482   0.553   0.714   1.000   
       361   R_17Networks_RH_DefaultA_Temp_1               0.980   1.000   0.008   1.000   
       362   R_17Networks_RH_DefaultA_IPL_1                0.984   0.996   0.008   1.000   
       363   R_17Networks_RH_DefaultA_IPL_2                0.984   0.996   0.012   1.000   
       364   R_17Networks_RH_DefaultA_PFCd_1               0.984   1.000   0.012   1.000   
       365   R_17Networks_RH_DefaultA_PFCd_2               0.984   1.000   0.016   1.000   
       366   R_17Networks_RH_DefaultA_PCC_1                0.984   0.992   0.004   1.000   
       367   R_17Networks_RH_DefaultA_PCC_2                0.984   0.992   0.008   1.000   
       368   R_17Networks_RH_DefaultA_PCC_3                0.984   0.992   0.012   1.000   
       369   R_17Networks_RH_DefaultA_PCC_4                0.984   0.992   0.016   1.000   
       370   R_17Networks_RH_DefaultA_PCC_5                0.984   0.992   0.020   1.000   
       371   R_17Networks_RH_DefaultA_PFCm_1               0.976   1.000   0.004   1.000   
       372   R_17Networks_RH_DefaultA_PFCm_2               0.976   1.000   0.008   1.000   
       373   R_17Networks_RH_DefaultA_PFCm_3               0.976   1.000   0.012   1.000   
       374   R_17Networks_RH_DefaultA_PFCm_4               0.976   1.000   0.016   1.000   
       375   R_17Networks_RH_DefaultA_PFCm_5               0.976   1.000   0.020   1.000   
       376   R_17Networks_RH_DefaultA_PFCm_6               0.976   1.000   0.024   1.000   
       377   R_17Networks_RH_DefaultB_Temp_1               0.824   0.243   0.314   1.000   
       378   R_17Networks_RH_DefaultB_Temp_2               0.824   0.243   0.318   1.000   
       379   R_17Networks_RH_DefaultB_AntTemp_1            0.824   0.247   0.310   1.000   
       380   R_17Networks_RH_DefaultB_PFCd_1               0.824   0.247   0.306   1.000   
       381   R_17Networks_RH_DefaultB_PFCd_2               0.824   0.247   0.314   1.000   
       382   R_17Networks_RH_DefaultB_PFCd_3               0.824   0.247   0.318   1.000   
       383   R_17Networks_RH_DefaultB_PFCd_4               0.824   0.247   0.322   1.000   
       384   R_17Networks_RH_DefaultB_PFCd_5               0.824   0.247   0.325   1.000   
       385   R_17Networks_RH_DefaultB_PFCv_1               0.820   0.243   0.306   1.000   
       386   R_17Networks_RH_DefaultB_PFCv_2               0.820   0.243   0.310   1.000   
       387   R_17Networks_RH_DefaultB_PFCv_3               0.820   0.243   0.314   1.000   
       388   R_17Networks_RH_DefaultC_IPL_1                0.016   0.004   0.518   1.000   
       389   R_17Networks_RH_DefaultC_IPL_2                0.016   0.004   0.522   1.000   
       390   R_17Networks_RH_DefaultC_Rsp_1                0.020   0.000   0.514   1.000   
       391   R_17Networks_RH_DefaultC_Rsp_2                0.020   0.000   0.518   1.000   
       392   R_17Networks_RH_DefaultC_PHC_1                0.020   0.000   0.522   1.000   
       393   R_17Networks_RH_DefaultC_PHC_2                0.020   0.000   0.525   1.000   
       394   R_17Networks_RH_TempPar_1                     0.063   0.188   0.984   1.000   
       395   R_17Networks_RH_TempPar_2                     0.063   0.188   0.988   1.000   
       396   R_17Networks_RH_TempPar_3                     0.063   0.188   0.992   1.000   
       397   R_17Networks_RH_TempPar_4                     0.063   0.188   1.000   1.000   
       398   R_17Networks_RH_TempPar_5                     0.051   0.161   0.980   1.000   
       399   R_17Networks_RH_TempPar_6                     0.051   0.161   0.984   1.000   
       400   R_17Networks_RH_TempPar_7                     0.051   0.161   0.988   1.000   
       401   R_17Networks_RH_TempPar_8                     0.051   0.161   0.992   1.000   
       402   R_17Networks_RH_TempPar_9                     0.051   0.161   0.996   1.000   
       403   R_17Networks_RH_TempPar_10                    0.051   0.165   0.969   1.000   

